Polski,Deutsch
przyjemne,angenehm
nieprzyjemne,unangenehm
konieczne,notwendig
czasochłonne,zeitraubend
ściśle pracować,arbeiten eng
krewny,der Verwandter
w ogóle,überhaupt
krótko przed,kurz bevor
wchodzić,betreten
obecny,anwesend
satystfakcjonujący,sinnvoll
plotka,Klatsch und Tratsch
rezygnować,verzichten
błąd,der Fehler
marnować,verschwenden
Co ciekawe,Interessanterweise
jednocześnie,gleichzeitig
szczególnie,besonders
niepotrzebnie,unnötig
właściciel,Eigentümer (Besitzer)
nie być w stanie nic zorbić,nicht in der Lage sein etwas zu tun
przypominać o,erinnern an
cenić,achten auf
wartość,der Wert
spotkanie,die Verabredung
zwrot,die Wendung
na czas / w porę,rechtzeitig
doświadczenie,die Erfahrung
codzienność,der Alltag
mózg,das Gehirn
preferować,bevorzugen
decydować się,entscheiden für
znaczenie,die Bedeutung
obecnie,gegenwärtig
zarządzać / dysponować,verfügen
zupełnie / kompletnie,vollständig
liczny,zahlreich
secesja,der Jugendstil
wybrani,die Ausgewählte
uczucie / sentyment,das Gefühl
Służba Bezpieczeństwa,die Staatssicherheit
dawny,ehemalig
nadzwyczajny,außergewöhnlich
oferować,bieten
w pewnym sensie,irgendwie
nigdzie,nirgendwo
sukces,der Erfolg
współczesny,zeitgenössisch
zdobywać,erobern
nadal,noch immer
od lat,seit Jahren
pożegnanie,die Verabschiedung
punkt styczności,der Berührungspunkt
różnorodny,vielfältig
odnoszący sukcesy,erfolgreich
teraźniejszość,die Gegenwart
reprezentant,der Vertreter
słuzyć,dienen
następnie / potem,anschließend
palić,brennen
leń śmierdzący,der Faulpelz
bać się,sich fürchten
O co chodzi?,Worum geht es?
dowiedzieć się,sich erkundigen
koniecznie,unbedingt
przed chwilą / dopiero co,vorhin
wtedy / wówczas,damals
następnie / już niedługo,demnächst
w dzisiejszych czasach,heutzutage
przyszły,künftig
ostatnio / niedawno n..,neulich
ostatnio / niedawno k..,kürzlich
potem,nachher
dawniej,einst
